FileName	LinesWithCode	LinesWithComments	EmptyLines	TotalLines	Characters
8826069.java	49	3	17	69	1851
2622608.java	285	3	34	322	13692
2741789.java	28	17	10	55	2030
4914958.java	291	0	47	338	10941
3872145.java	12	13	11	35	665
7250432.java	70	6	14	90	3289
2083555.java	1104	32	224	1360	35904
51245.java	156	25	46	216	5959
891631.java	38	5	14	57	2477
5297491.java	16	6	8	30	798
1657048.java	105	23	27	149	3824
11615904.java	279	4	62	344	13464
10770992.java	15	7	9	31	523
7387780.java	4	1	3	7	152
9833789.java	122	86	44	252	6600
5549095.java	182	23	24	229	10316
1029095.java	8	38	8	53	1782
7602000.java	86	2	9	97	7351
8283816.java	79	7	20	106	2920
2112954.java	259	4	51	314	7589
3985387.java	57	0	15	72	1570
882430.java	7	2	3	12	239
8061146.java	4	5	4	13	215
9677757.java	90	2	13	105	3394
6207258.java	25	13	14	52	1190
5954687.java	73	1	12	85	2695
2844960.java	48	0	10	58	1806
5901837.java	7	13	5	25	795
7533970.java	67	20	28	115	2652
3660391.java	249	10	34	293	10485
4622196.java	6	20	8	34	943
8354011.java	20	0	9	29	515
2491400.java	12	3	6	21	451
946968.java	37	0	4	41	1259
45394.java	151	12	16	179	4313
4121890.java	45	3	18	66	2068
3376692.java	4	5	3	12	198
2580441.java	328	4	76	408	13154
10329669.java	10	6	5	21	430
8671814.java	17	13	12	42	1073
6495270.java	1	2	2	5	55
2631583.java	29	45	8	81	2849
8981450.java	71	60	26	156	4264
1416790.java	41	1	14	56	1708
10514421.java	141	1	25	167	3866
5144549.java	8	3	3	14	182
1815337.java	22	2	9	33	552
10954393.java	4	16	8	28	819
11548236.java	28	20	25	73	940
5864799.java	10	1	4	14	361
1329295.java	15	1	6	21	616
8463700.java	59	5	20	84	2235
3938110.java	12	36	15	63	1661
5161173.java	681	15	48	744	28275
137959.java	68	16	13	97	2826
623323.java	17	0	7	24	493
2402859.java	167	0	39	206	5626
10150612.java	12	26	6	44	2282
5386009.java	12	6	6	24	539
7285796.java	72	6	14	92	2712
2869570.java	31	0	6	37	774
9400100.java	18	130	31	178	6214
4928581.java	4	11	6	21	485
5038696.java	4	3	3	10	201
5657701.java	25	8	10	43	935
508197.java	261	0	44	305	10658
6176438.java	69	3	11	83	1752
615738.java	5	36	10	51	1759
5549532.java	5	57	8	70	1415
2504445.java	140	0	17	157	4781
4640007.java	137	4	40	181	4246
5629234.java	155	49	28	232	7215
391163.java	12	30	20	62	1748
8711540.java	161	1	33	195	5811
582231.java	10	28	9	46	1737
4009464.java	212	0	77	289	7745
2410320.java	82	25	16	123	3829
9161669.java	130	0	23	153	4588
25199.java	97	3	12	112	3472
2306287.java	15	5	4	24	634
8955162.java	91	2	37	130	3963
9446681.java	29	16	14	59	1182
10749271.java	70	6	14	90	3289
4097731.java	181	11	109	298	6158
8122326.java	3	33	7	43	1161
6383010.java	52	9	18	79	2189
5314885.java	48	2	14	64	1897
1777207.java	18	10	13	41	910
10008677.java	81	0	24	105	2090
4757144.java	20	10	9	39	656
7431218.java	21	8	6	33	1414
1756343.java	16	68	10	94	2526
905971.java	35	0	14	49	1428
4431769.java	3	2	5	8	175
6510611.java	4	22	7	32	1635
3409851.java	361	32	95	488	12935
5601479.java	11	15	13	39	783
6879305.java	48	35	24	107	2441
5321748.java	33	16	12	61	2091
5675219.java	46	6	17	69	1971
3722365.java	19	17	13	49	1285
2242558.java	33	102	23	158	5250
3380712.java	90	5	18	109	3986
3781033.java	14	0	4	18	383
282725.java	40	23	15	78	2158
7473880.java	24	26	14	64	2044
11495558.java	9	9	4	22	754
10626016.java	34	0	13	47	917
6324229.java	133	31	22	186	7419
2536918.java	96	0	23	119	3836
6133947.java	272	27	29	328	10679
206111.java	28	20	13	61	2131
2971575.java	229	3	35	267	7529
8979529.java	23	0	5	28	961
9482567.java	33	17	19	69	1405
9091271.java	55	0	11	66	1796
9716432.java	12	3	5	20	430
1020825.java	500	29	115	643	16856
3462571.java	132	0	28	160	4244
1758926.java	12	59	20	91	2789
3645762.java	14	5	9	28	745
356124.java	42	3	10	55	1770
793828.java	7	9	2	18	322
5039402.java	15	3	4	22	554
2901495.java	223	5	40	268	8540
3310583.java	7	18	5	29	1116
910609.java	9	98	16	122	3830
9774397.java	19	0	7	26	736
4526124.java	48	5	4	57	2361
2634288.java	29	2	9	40	886
1450044.java	133	25	39	197	6944
7968690.java	4	4	3	11	178
1915409.java	270	2	64	336	8362
8004329.java	10	12	12	34	936
5867684.java	18	11	12	41	834
10538721.java	16	0	5	21	541
1928910.java	25	17	15	57	1687
3858761.java	12	1	4	16	364
1961052.java	46	6	16	68	2511
6822595.java	19	10	9	38	641
9250485.java	9	33	13	55	1848
814906.java	92	0	17	109	3806
7074844.java	86	2	22	110	3082
4652413.java	56	0	21	77	1834
6885868.java	114	0	17	131	6066
3432592.java	4	1	3	7	168
4213453.java	462	5	78	545	17133
7511767.java	5	3	6	14	155
4981827.java	45	5	4	54	2044
1497385.java	58	20	8	86	3135
1637684.java	9	16	6	31	918
1227363.java	85	20	22	125	3292
7682900.java	155	14	24	193	6073
9579721.java	15	8	8	31	774
9124787.java	163	0	27	190	6366
8618875.java	3	1	3	6	143
4451657.java	7	2	6	15	246
9666902.java	6	17	8	31	840
9644031.java	239	0	57	296	7724
4201098.java	8	19	9	36	1219
9021357.java	6	7	6	19	534
94107.java	17	15	15	47	677
7792222.java	8	5	4	17	317
5027779.java	15	3	4	22	554
3844772.java	5	18	5	28	937
2219839.java	12	16	9	37	1284
8745502.java	5	16	6	27	686
10352477.java	27	2	8	37	529
2977986.java	567	0	78	645	21635
9716625.java	44	63	20	127	3819
1791397.java	27	0	8	35	1071
981440.java	11	7	9	26	714
4989981.java	139	1	36	176	3415
1553692.java	0	1	3	4	16
3117352.java	26	5	12	43	810
5081554.java	311	0	53	364	12096
5550192.java	25	2	12	39	878
5697355.java	21	7	8	34	743
3216952.java	39	0	5	44	1108
6032979.java	1	6	4	11	201
6490040.java	34	4	14	50	645
9801103.java	25	3	12	40	865
1008269.java	12	3	6	21	655
1449972.java	133	25	39	197	6944
272162.java	27	8	12	47	887
423976.java	5	3	5	13	177
7117590.java	6	3	6	15	350
7917038.java	237	9	35	280	6302
3986934.java	1	37	4	42	1358
9802372.java	8	2	5	15	225
9735184.java	163	5	21	187	3727
2032308.java	67	62	30	158	3952
5552836.java	25	0	9	34	1179
4779321.java	3	21	5	28	620
1787480.java	6	24	10	40	1634
7371206.java	12	8	8	28	545
4085153.java	5	2	3	10	254
8959530.java	66	23	24	113	3182
1159002.java	51	19	23	92	1825
6398650.java	4	8	6	18	292
122107.java	101	4	20	125	4498
6508121.java	4	1	3	7	169
849499.java	5	17	7	29	913
5288970.java	107	12	20	139	3492
6610059.java	8	1	6	15	324
1625500.java	35	22	11	68	3176
11439255.java	12	3	8	23	383
4331518.java	4	6	4	14	256
1154827.java	6	23	9	38	1528
4074555.java	58	0	15	73	2037
2842623.java	100	3	24	127	3053
708760.java	218	0	45	263	8722
7494870.java	133	20	46	198	4621
7326773.java	5	18	5	28	867
11261623.java	45	9	19	73	1277
9992637.java	31	73	46	150	3471
1022289.java	126	23	21	170	6489
5971757.java	112	6	13	131	4651
5149320.java	55	19	11	85	2726
7786932.java	10	3	7	17	543
2407043.java	14	23	12	48	1410
6585591.java	14	0	4	18	404
10553908.java	39	2	10	51	1243
958791.java	68	5	13	86	2392
5026295.java	4	3	3	10	201
2822651.java	182	1	16	199	4759
5585142.java	48	4	10	62	1750
10523439.java	4	1	3	7	167
1276777.java	113	7	28	148	5340
6108606.java	91	17	34	135	4173
6726612.java	94	78	58	230	7381
10235895.java	230	9	42	277	8069
9039081.java	13	24	7	44	464
7108402.java	4	10	6	20	308
6132181.java	131	32	38	201	7291
2730637.java	5	34	8	47	1750
5168082.java	22	5	13	40	839
2572060.java	10	1	4	14	346
7819180.java	62	17	14	93	2360
790570.java	5	8	5	18	835
7651801.java	165	1	50	216	6156
11101310.java	30	5	14	49	813
4991419.java	47	6	20	73	1458
11342154.java	503	0	57	560	19340
761017.java	29	5	4	38	1234
9711392.java	197	17	33	247	6429
9779062.java	14	5	4	23	558
4201475.java	60	0	30	90	1799
4637189.java	3	1	3	6	161
11145682.java	7	19	10	36	928
7148878.java	20	25	12	57	1132
8337465.java	300	45	43	388	14093
1991891.java	9	5	6	20	350
5266141.java	25	3	14	42	817
2695651.java	158	3	37	198	5405
8894614.java	158	14	29	201	6792
6510190.java	5	22	9	36	971
9824881.java	43	7	17	67	1303
5628853.java	94	2	18	114	3125
9742689.java	31	0	9	40	795
10107300.java	329	5	66	400	11558
4583935.java	5	17	11	33	846
6282826.java	37	17	16	70	2259
632178.java	9	9	4	22	767
4588239.java	15	3	8	26	741
10020948.java	43	18	19	80	2188
1287660.java	6	2	4	12	211
6564748.java	5	8	9	22	331
9848638.java	8	15	10	33	626
1045685.java	25	114	44	183	6215
7977.java	49	0	9	58	1647
271814.java	5	14	7	26	484
7232008.java	56	0	15	71	1355
9755397.java	127	25	16	167	6976
5788698.java	37	14	20	71	1868
4490323.java	13	9	7	29	606
8476984.java	204	4	31	239	7263
6149725.java	22	21	11	54	1312
1967132.java	192	1	18	210	7087
5138640.java	26	3	12	41	813
226860.java	389	1	116	506	15713
2752771.java	16	46	20	82	2026
6322334.java	29	0	9	38	1027
1996333.java	21	29	15	65	1254
6209624.java	140	7	23	170	5756
10451506.java	13	5	3	21	542
1068038.java	77	6	4	87	2006
1106226.java	6	3	4	13	283
3667280.java	172	2	43	217	4895
5027075.java	629	67	106	777	27368
8643830.java	115	3	21	139	2826
1333625.java	15	5	4	24	607
10169405.java	12	12	5	29	503
7142406.java	13	0	7	20	345
1996461.java	44	10	14	68	1709
4391415.java	47	2	13	62	1791
6269535.java	11	3	8	22	347
1007849.java	1106	8	196	1310	50691
551630.java	66	34	25	124	3375
719526.java	48	0	14	62	964
1601695.java	28	5	4	37	1462
5327027.java	75	0	27	102	2772
8319081.java	4	1	3	7	162
9358865.java	51	13	22	86	2063
10108695.java	117	39	16	172	6096
5985197.java	485	8	82	573	21216
2893914.java	8	58	13	78	2217
7515601.java	4	1	3	7	174
9260930.java	79	3	14	96	2348
7738975.java	49	5	32	81	1284
11732949.java	8	13	5	26	765
2450796.java	8	5	4	17	441
3496210.java	47	9	16	72	1671
11557752.java	98	0	24	122	2343
1222417.java	4	15	6	25	936
2743021.java	3	19	6	27	880
8089664.java	115	11	27	153	4544
5377852.java	38	6	9	53	1758
4325502.java	25	10	11	46	898
9277750.java	820	5	158	983	33088
2272937.java	19	14	11	44	1504
11569509.java	114	5	14	133	3699
4160177.java	41	81	32	154	4083
816018.java	19	43	22	84	1815
6501190.java	122	14	36	171	6940
5912719.java	126	48	24	194	6888
7411676.java	56	13	13	82	2592
5432498.java	4	1	3	7	160
5296673.java	28	17	9	54	1500
2326120.java	248	21	32	300	9247
5190816.java	11	0	3	14	318
5466470.java	25	12	13	50	1072
6498342.java	22	9	12	37	1455
10439795.java	91	0	23	114	3218
9609397.java	83	24	20	127	3639
8112844.java	204	0	28	232	8557
7637503.java	259	0	37	296	9005
9415254.java	31	0	15	46	1093
7172272.java	32	5	12	49	1310
1661234.java	38	4	11	53	1569
1431358.java	169	0	34	203	6138
5029229.java	15	3	4	22	554
7197440.java	63	35	16	114	3907
2156883.java	21	11	6	38	878
3604515.java	6	0	1	7	129
3351393.java	26	0	15	41	662
5585748.java	116	0	17	133	4381
3923916.java	55	16	21	92	2024
8523409.java	7	18	9	34	665
1595662.java	20	5	9	34	724
2196203.java	1154	58	65	1249	37639
6430203.java	62	1	8	71	1553
9985865.java	31	8	12	49	951
8827890.java	10	5	5	20	457
5893828.java	260	3	39	301	10788
6050842.java	53	6	8	67	1665
2142316.java	8	13	5	26	781
3478605.java	129	29	23	181	3715
10069791.java	72	0	17	89	2180
8622230.java	1	2	3	6	76
2743180.java	71	40	15	126	4930
1997861.java	25	5	4	34	1049
6330915.java	14	32	12	58	1289
4093015.java	56	0	15	71	1759
6136667.java	68	44	33	145	2478
6464055.java	37	10	19	66	3444
6217427.java	57	5	4	66	2762
5774789.java	77	0	16	93	2737
10279298.java	69	6	20	94	2343
10459661.java	80	3	20	103	3312
1336769.java	4	5	5	14	204
7652136.java	4	1	3	7	166
10607969.java	70	7	15	91	2201
1961128.java	724	21	102	847	26137
1958380.java	377	65	74	516	17682
3506109.java	26	0	7	33	1031
32333.java	650	1	21	672	18071
9862591.java	6	24	8	37	1789
4992944.java	24	8	11	40	837
2767734.java	66	0	13	79	2737
1135290.java	27	13	11	51	2075
2986703.java	79	0	21	100	2202
3252261.java	11	11	6	26	1122
2288041.java	50	40	23	112	3761
5197724.java	50	0	8	58	1663
5257316.java	296	10	77	383	14871
8965237.java	7	4	4	15	383
4258331.java	9	26	14	49	1557
1404081.java	92	28	22	142	3936
8928285.java	4	1	3	7	165
4562475.java	151	53	29	233	5891
5558056.java	36	5	4	45	1562
9893658.java	7	40	9	55	1648
3267265.java	2404	48	323	2764	61768
6528810.java	78	28	19	125	3291
10677838.java	3116	542	202	3843	158555
4543014.java	5	3	6	14	166
3090699.java	155	7	41	203	5786
5365321.java	6	95	10	110	4951
10657210.java	128	24	35	186	4725
1495163.java	60	0	22	82	2022
5008381.java	7	4	5	16	398
6982438.java	22	46	32	93	2962
7494157.java	65	64	31	159	3385
6744151.java	176	3	28	207	7522
5219905.java	64	0	14	78	1401
2034617.java	122	0	25	147	3697
7650797.java	85	6	23	114	2735
3169645.java	219	0	39	258	7762
3361577.java	90	0	16	106	2101
5793460.java	30	15	13	58	1713
9514253.java	49	25	21	92	2096
2046943.java	6	11	8	25	743
6417441.java	111	11	46	167	5293
1963082.java	79	31	21	131	2757
11944680.java	34	7	2	43	1168
5561016.java	5	31	9	43	1511
4803161.java	63	11	19	84	1491
4240483.java	20	18	17	55	1170
2195966.java	24	3	8	35	847
9597679.java	290	5	98	393	6272
3938144.java	13	0	2	15	489
2356341.java	35	14	10	58	1948
7338483.java	17	5	13	35	809
1738777.java	58	6	21	85	1856
3323657.java	182	0	37	219	3722
8412569.java	108	4	33	145	4082
4584012.java	34	0	8	42	881
6576313.java	121	11	21	153	7629
6237508.java	10	1	4	14	400
3201811.java	1019	125	174	1318	50501
11732857.java	272	5	38	311	8989
8792948.java	4	16	8	28	819
639938.java	128	19	29	176	6245
4108180.java	272	23	43	338	13011
6799237.java	4	10	7	20	665
289801.java	46	20	10	75	2752
9645861.java	263	0	22	285	9357
6616791.java	52	0	7	59	1930
4829286.java	355	7	51	413	16578
1307833.java	17	1	2	20	666
4333317.java	50	0	8	58	1312
985863.java	54	5	4	63	2446
3265007.java	575	9	125	707	25745
6191535.java	140	3	17	160	3866
525773.java	24	21	20	65	866
11599885.java	120	7	20	144	5430
3201016.java	123	1	21	144	6049
8628675.java	104	85	57	246	6237
912166.java	125	0	33	158	4485
8614382.java	94	24	52	162	4862
1003678.java	6	2	4	12	224
11883472.java	71	11	23	105	4572
2982352.java	14	18	8	40	927
11681195.java	8	21	6	35	1483
10905500.java	35	3	8	46	1115
2800722.java	49	2	9	60	1200
513844.java	109	6	38	153	4948
8002925.java	37	0	10	47	1501
9675078.java	34	0	3	37	855
9082267.java	40	6	10	55	1469
4777991.java	516	57	50	623	16082
2210420.java	21	15	10	46	1298
3730590.java	68	40	20	126	3349
474144.java	22	5	10	37	533
730931.java	119	5	26	150	4220
9418047.java	7	6	7	20	290
6159498.java	15	56	21	92	2640
5627919.java	562	48	168	777	19306
11904956.java	15	18	9	42	1023
9695438.java	39	0	10	49	857
5957612.java	92	23	15	130	3931
10824704.java	16	5	10	31	534
8711837.java	61	3	11	75	2398
11825279.java	0	16	4	20	603
250262.java	1116	0	217	1333	34735
10935832.java	91	0	16	107	3953
7296761.java	90	31	22	142	5344
3879412.java	10	5	12	27	530
2315733.java	15	5	4	24	627
7907720.java	116	7	17	140	4473
8620883.java	71	24	17	111	3754
11382851.java	14	0	2	16	262
2240285.java	7	13	13	33	587
5016136.java	88	17	6	111	6297
3204576.java	40	5	9	54	1598
4931363.java	67	10	18	95	2480
1046497.java	695	22	59	774	45148
8254620.java	251	32	83	366	11275
2588982.java	31	30	14	75	1779
6427154.java	230	0	37	267	10213
3723135.java	16	3	12	31	696
761497.java	15	41	14	70	2116
626708.java	38	3	11	52	1021
11655993.java	47	5	3	55	2491
10458538.java	21	6	8	35	881
11341259.java	18	17	10	45	1488
8101167.java	3	2	6	11	199
3196820.java	20	3	7	30	879
6100893.java	92	11	20	123	4996
4027649.java	48	21	12	81	2210
9117450.java	6	5	4	15	355
326826.java	15	6	9	30	622
10103502.java	54	20	13	87	3485
4937128.java	36	9	11	54	1645
11452535.java	519	17	111	647	21431
5968369.java	44	2	20	66	1585
404607.java	6	30	9	45	1307
3509449.java	202	18	29	249	6345
4454811.java	19	23	25	67	1920
1100149.java	474	2	87	563	28007
1265074.java	6	34	12	51	1666
11871181.java	96	0	16	112	2832
5429997.java	17	32	17	62	1625
9190762.java	24	51	34	109	2396
5671883.java	46	9	8	63	1429
9385525.java	116	20	30	166	5545
2245901.java	48	3	11	62	1361
9319920.java	27	6	12	45	1245
9742838.java	12	16	9	37	1290
6300707.java	67	0	32	99	2940
3754247.java	54	26	8	88	2615
10607331.java	126	23	38	187	5317
8721564.java	45	0	28	73	1075
1037239.java	64	2	19	83	2441
4646783.java	4	16	3	23	807
11136640.java	66	0	15	81	1712
10813776.java	90	4	22	116	3709
6040138.java	83	0	27	110	2995
10024686.java	174	6	45	225	4612
9780535.java	13	14	12	39	762
7782309.java	64	12	20	96	3178
7701546.java	15	20	9	44	1450
3464796.java	60	6	16	82	3157
4450285.java	140	0	45	185	4139
8307364.java	26	15	14	55	1828
876072.java	21	35	15	71	1786
8359027.java	680	0	119	799	24458
5584526.java	4	1	3	7	164
946991.java	5	15	6	26	593
9406720.java	27	16	16	59	1688
8664100.java	514	13	55	581	21036
4983340.java	7	35	10	52	1908
4165100.java	20	0	8	28	782
130094.java	52	25	11	88	2540
8093947.java	4	1	3	7	168
7602403.java	36	11	13	60	1517
5755732.java	485	8	82	573	21216
2638984.java	8	17	10	34	1079
1033811.java	55	7	6	68	2767
10264622.java	13	14	9	36	1202
1297937.java	5	34	9	48	1560
9377606.java	106	11	20	137	6028
6998674.java	26	3	14	43	929
3792011.java	296	10	77	383	14871
4526058.java	13	124	25	161	5360
1929470.java	18	5	4	27	714
1298108.java	233	22	42	297	11412
11352563.java	12	1	4	16	336
10442127.java	285	66	55	406	15115
72120.java	594	10	67	671	23265
5291147.java	20	2	5	27	722
7257434.java	15	26	17	58	2067
3469808.java	37	60	46	143	3705
4119873.java	148	8	27	183	6752
8865188.java	257	62	25	343	8480
2835855.java	8	1	2	11	195
4424607.java	25	7	13	45	1007
3332747.java	67	1	10	78	2229
4263235.java	37	48	17	102	3318
8966291.java	84	6	20	110	2907
1004745.java	207	37	49	293	5899
778218.java	9	22	5	36	1101
10542339.java	75	2	16	93	2858
9834207.java	35	3	10	48	1112
2057957.java	210	31	42	279	6075
3926640.java	8	3	3	14	185
4092838.java	59	7	14	80	1713
425867.java	17	29	9	55	1525
1851838.java	22	1	6	28	728
4472883.java	37	18	10	65	1523
519536.java	42	4	18	63	1546
3126806.java	14	0	4	18	404
5891332.java	594	10	67	671	23265
3668468.java	5	2	4	11	265
4104261.java	12	5	9	26	609
249119.java	215	15	18	248	8496
4707490.java	32	3	8	43	1311
9087229.java	3	4	4	11	153
7628727.java	18	15	8	41	1141
3491468.java	164	1	71	236	6560
2923856.java	89	42	25	156	4556
7764530.java	73	9	4	86	2815
8551718.java	10	15	9	34	863
7998569.java	10	4	3	17	364
4485637.java	88	13	20	121	4020
428666.java	169	623	91	883	36410
8307048.java	11	57	12	80	2208
6659705.java	27	31	17	70	1664
8688798.java	30	35	12	77	2981
11865982.java	40	1	10	50	1714
9283476.java	41	18	9	68	2578
6031520.java	27	16	11	54	1668
7504884.java	24	2	12	37	892
7065345.java	12	73	41	126	4179
906124.java	25	8	11	44	1579
10582215.java	8	3	3	14	183
7354452.java	18	27	14	56	2068
2809146.java	15	0	5	20	614
3383292.java	45	5	12	62	2033
7164320.java	45	16	12	73	1867
